"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","286992.0","116092.0","93244.0","510.0","28628.0","468210.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","2595.0","12702.0","13788.0","0.0","7935.0","21150.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","813.0","7885.0","9221.0","0.0","7063.0","10856.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","1782.0","4817.0","4567.0","0.0","872.0","10294.0"
"政府サ－ビス生産者総数_2.サ－ビス業","103470.0","3748.0","17596.0","26.0","5793.0","119047.0"
"政府サ－ビス生産者総数_教育","103470.0","3748.0","17596.0","26.0","5793.0","119047.0"
"政府サ－ビス生産者総数_3.公務","180927.0","99642.0","61860.0","484.0","14900.0","328013.0"
"","","","","","",""
"国の県内出先機関","28337.0","31280.0","10166.0","18.0","3166.0","66635.0"
"国の県内出先機関_2.サ－ビス業","7847.0","293.0","2084.0","3.0","2820.0","7407.0"
"国の県内出先機関_2.サ－ビス業_教育","7847.0","293.0","2084.0","3.0","2820.0","7407.0"
"国の県内出先機関_3.公務","20490.0","30987.0","8082.0","15.0","346.0","59228.0"
"","","","","","",""
"和歌山県","159142.0","40376.0","21398.0","197.0","6431.0","214682.0"
"和歌山県_2.サ－ビス業","87712.0","861.0","4532.0","5.0","2655.0","90455.0"
"和歌山県_2.サ－ビス業_教育","87712.0","861.0","4532.0","5.0","2655.0","90455.0"
"和歌山県_3.公務","71430.0","39515.0","16866.0","192.0","3776.0","124227.0"
"","","","","","",""
"県内市町村","99513.0","44436.0","61680.0","295.0","19031.0","186893.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","2595.0","12702.0","13788.0","0.0","7935.0","21150.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","813.0","7885.0","9221.0","0.0","7063.0","10856.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","1782.0","4817.0","4567.0","0.0","872.0","10294.0"
"県内市町村_2.サ－ビス業","7911.0","2594.0","10980.0","18.0","318.0","21185.0"
"県内市町村_2.サ－ビス業_教育","7911.0","2594.0","10980.0","18.0","318.0","21185.0"
"県内市町村_3.公務","89007.0","29140.0","36912.0","277.0","10778.0","144558.0"
