"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","253921.0","116611.0","91224.0","456.0","29524.0","432688.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","2059.0","11534.0","13488.0","0.0","9684.0","17397.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","755.0","7417.0","9164.0","0.0","8682.0","8654.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","1304.0","4117.0","4324.0","0.0","1002.0","8743.0"
"政府サ－ビス生産者総数_2.サ－ビス業","89284.0","3831.0","17428.0","35.0","3240.0","107338.0"
"政府サ－ビス生産者総数_教育","89284.0","3831.0","17428.0","35.0","3240.0","107338.0"
"政府サ－ビス生産者総数_3.公務","162578.0","101246.0","60308.0","421.0","16600.0","307953.0"
"","","","","","",""
"国の県内出先機関","25068.0","35760.0","6303.0","25.0","3190.0","63966.0"
"国の県内出先機関_2.サ－ビス業","7252.0","537.0","2088.0","4.0","2964.0","6917.0"
"国の県内出先機関_2.サ－ビス業_教育","7252.0","537.0","2088.0","4.0","2964.0","6917.0"
"国の県内出先機関_3.公務","17816.0","35223.0","4215.0","21.0","226.0","57049.0"
"","","","","","",""
"和歌山県","138251.0","40585.0","18964.0","161.0","4695.0","193266.0"
"和歌山県_2.サ－ビス業","75333.0","734.0","3668.0","6.0","109.0","79632.0"
"和歌山県_2.サ－ビス業_教育","75333.0","734.0","3668.0","6.0","109.0","79632.0"
"和歌山県_3.公務","62918.0","39851.0","15296.0","155.0","4586.0","113634.0"
"","","","","","",""
"県内市町村","90602.0","40266.0","65957.0","270.0","21639.0","175456.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","2059.0","11534.0","13488.0","0.0","9684.0","17397.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","755.0","7417.0","9164.0","0.0","8682.0","8654.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","1304.0","4117.0","4324.0","0.0","1002.0","8743.0"
"県内市町村_2.サ－ビス業","6699.0","2560.0","11672.0","25.0","167.0","20789.0"
"県内市町村_2.サ－ビス業_教育","6699.0","2560.0","11672.0","25.0","167.0","20789.0"
"県内市町村_3.公務","81844.0","26172.0","40797.0","245.0","11788.0","137270.0"
