"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","263653.0","114103.0","90836.0","475.0","28316.0","440751.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","2166.0","11976.0","13846.0","0.0","9465.0","18523.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","763.0","7612.0","9328.0","0.0","8491.0","9212.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","1403.0","4364.0","4518.0","0.0","974.0","9311.0"
"政府サ－ビス生産者総数_2.サ－ビス業","93222.0","3779.0","17337.0","36.0","3195.0","111179.0"
"政府サ－ビス生産者総数_教育","93222.0","3779.0","17337.0","36.0","3195.0","111179.0"
"政府サ－ビス生産者総数_3.公務","168265.0","98348.0","59653.0","439.0","15656.0","311049.0"
"","","","","","",""
"国の県内出先機関","24903.0","30287.0","5778.0","27.0","3158.0","57837.0"
"国の県内出先機関_2.サ－ビス業","6940.0","516.0","2016.0","4.0","2912.0","6564.0"
"国の県内出先機関_2.サ－ビス業_教育","6940.0","516.0","2016.0","4.0","2912.0","6564.0"
"国の県内出先機関_3.公務","17963.0","29771.0","3762.0","23.0","246.0","51273.0"
"","","","","","",""
"和歌山県","145899.0","41322.0","19099.0","171.0","4303.0","202188.0"
"和歌山県_2.サ－ビス業","79226.0","441.0","4065.0","7.0","110.0","83629.0"
"和歌山県_2.サ－ビス業_教育","79226.0","441.0","4065.0","7.0","110.0","83629.0"
"和歌山県_3.公務","66673.0","40881.0","15034.0","164.0","4193.0","118559.0"
"","","","","","",""
"県内市町村","92851.0","42494.0","65959.0","277.0","20855.0","180726.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","2166.0","11976.0","13846.0","0.0","9465.0","18523.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","763.0","7612.0","9328.0","0.0","8491.0","9212.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","1403.0","4364.0","4518.0","0.0","974.0","9311.0"
"県内市町村_2.サ－ビス業","7056.0","2822.0","11256.0","25.0","173.0","20986.0"
"県内市町村_2.サ－ビス業_教育","7056.0","2822.0","11256.0","25.0","173.0","20986.0"
"県内市町村_3.公務","83629.0","27696.0","40857.0","252.0","11217.0","141217.0"
