"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","296604.0","114370.0","103873.0","435.0","30564.0","484718.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","4671.0","14078.0","14655.0","0.0","6938.0","26466.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","704.0","7173.0","8953.0","0.0","5788.0","11042.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","3967.0","6905.0","5702.0","0.0","1150.0","15424.0"
"政府サ－ビス生産者総数_2.サ－ビス業","113830.0","3137.0","19307.0","22.0","6602.0","129694.0"
"政府サ－ビス生産者総数_教育","113830.0","3137.0","19307.0","22.0","6602.0","129694.0"
"政府サ－ビス生産者総数_3.公務","178103.0","97155.0","69911.0","413.0","17024.0","328558.0"
"","","","","","",""
"国の県内出先機関","27564.0","31573.0","9992.0","4.0","3195.0","65938.0"
"国の県内出先機関_2.サ－ビス業","7620.0","127.0","1947.0","2.0","2963.0","6733.0"
"国の県内出先機関_2.サ－ビス業_教育","7620.0","127.0","1947.0","2.0","2963.0","6733.0"
"国の県内出先機関_3.公務","19944.0","31446.0","8045.0","2.0","232.0","59205.0"
"","","","","","",""
"和歌山県","168486.0","37697.0","24258.0","171.0","8800.0","221812.0"
"和歌山県_2.サ－ビス業","97237.0","757.0","6108.0","5.0","3276.0","100831.0"
"和歌山県_2.サ－ビス業_教育","97237.0","757.0","6108.0","5.0","3276.0","100831.0"
"和歌山県_3.公務","71249.0","36940.0","18150.0","166.0","5524.0","120981.0"
"","","","","","",""
"県内市町村","100554.0","45100.0","69623.0","260.0","18569.0","196968.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","4671.0","14078.0","14655.0","0.0","6938.0","26466.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","704.0","7173.0","8953.0","0.0","5788.0","11042.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","3967.0","6905.0","5702.0","0.0","1150.0","15424.0"
"県内市町村_2.サ－ビス業","8973.0","2253.0","11252.0","15.0","363.0","22130.0"
"県内市町村_2.サ－ビス業_教育","8973.0","2253.0","11252.0","15.0","363.0","22130.0"
"県内市町村_3.公務","86910.0","28769.0","43716.0","245.0","11268.0","148372.0"
