"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","319840.0","116812.0","102497.0","406.0","30809.0","508746.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","5710.0","13275.0","13666.0","0.0","5975.0","26676.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","673.0","6376.0","8518.0","0.0","5117.0","10450.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","5037.0","6899.0","5148.0","0.0","858.0","16226.0"
"政府サ－ビス生産者総数_2.サ－ビス業","123563.0","2793.0","19296.0","30.0","6408.0","139274.0"
"政府サ－ビス生産者総数_教育","123563.0","2793.0","19296.0","30.0","6408.0","139274.0"
"政府サ－ビス生産者総数_3.公務","190567.0","100744.0","69535.0","376.0","18426.0","342796.0"
"","","","","","",""
"国の県内出先機関","31085.0","27003.0","11475.0","15.0","2797.0","66781.0"
"国の県内出先機関_2.サ－ビス業","6657.0","288.0","1835.0","3.0","2551.0","6232.0"
"国の県内出先機関_2.サ－ビス業_教育","6657.0","288.0","1835.0","3.0","2551.0","6232.0"
"国の県内出先機関_3.公務","24428.0","26715.0","9640.0","12.0","246.0","60549.0"
"","","","","","",""
"和歌山県","178600.0","46168.0","23776.0","151.0","11134.0","237561.0"
"和歌山県_2.サ－ビス業","106111.0","681.0","5945.0","7.0","3475.0","109269.0"
"和歌山県_2.サ－ビス業_教育","106111.0","681.0","5945.0","7.0","3475.0","109269.0"
"和歌山県_3.公務","72489.0","45487.0","17831.0","144.0","7659.0","128292.0"
"","","","","","",""
"県内市町村","110155.0","43641.0","67246.0","240.0","16878.0","204404.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","5710.0","13275.0","13666.0","0.0","5975.0","26676.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","673.0","6376.0","8518.0","0.0","5117.0","10450.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","5037.0","6899.0","5148.0","0.0","858.0","16226.0"
"県内市町村_2.サ－ビス業","10795.0","1824.0","11516.0","20.0","382.0","23773.0"
"県内市町村_2.サ－ビス業_教育","10795.0","1824.0","11516.0","20.0","382.0","23773.0"
"県内市町村_3.公務","93650.0","28542.0","42064.0","220.0","10521.0","153955.0"
